observation_id,source_doi,source_table,source_row_label,compound,antibiotic_partner,fixed_inhibitor_concentration,fixed_inhibitor_concentration_unit,enzyme_family,enzyme_variant,reference_variant,variant_origin,author_reported_mutation,numbering_scheme,organism,strain,biological_context,assay_category,assay_system,protein_preparation,endpoint,relation,value,unit,fitted_value,replicate_count,directness,quality_flags,curator_note
EVO-OBS-P1-001,10.1128/aac.00991-23,Table 2,NDM-1,taniborbactam,,,,NDM,NDM-1,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,0.1,uM,,,direct_table_value,,
EVO-OBS-P1-002,10.1128/aac.00991-23,Table 2,NDM-9,taniborbactam,,,,NDM,NDM-9,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,53,uM,,,direct_table_value,,
EVO-OBS-P1-003,10.1128/aac.00991-23,Table 2,VIM-83,taniborbactam,,,,VIM,VIM-83,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,80,uM,,,direct_table_value,,
EVO-OBS-P1-004,10.1128/aac.00991-23,Table 2,IMP-1,taniborbactam,,,,IMP,IMP-1,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,>,100,uM,,,direct_table_value,,
EVO-OBS-P1-005,10.1128/aac.00991-23,Table 2,VIM-2-Glu149Lys,taniborbactam,,,,VIM,VIM-2 Glu149Lys,VIM-2,engineered,Glu149Lys,BBL,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,46,uM,,,direct_table_value,,
EVO-OBS-P1-006,10.1128/aac.00991-23,Table 1,,,cefepime,,,NDM,NDM-9,,paper_reported_variant,,,Escherichia coli,TOP10,recombinant_whole_cell,antimicrobial_susceptibility,whole_cell,,MIC,=,16,ug/mL,,,,,
EVO-OBS-P1-007,10.1128/aac.00991-23,Table 1,,taniborbactam,cefepime,4,ug/mL,NDM,NDM-9,,paper_reported_variant,,,Escherichia coli,TOP10,recombinant_whole_cell,antimicrobial_susceptibility,whole_cell,,MIC,=,16,ug/mL,,,,,
EVO-OBS-P2-001,10.1128/aac.01570-23,Table 3,NDM-9,xeruborbactam,,,,NDM,NDM-9,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,5.4,uM,,,direct_table_value,,
EVO-OBS-P2-002,10.1128/aac.01570-23,Table 3,NDM-9,taniborbactam,,,,NDM,NDM-9,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,130,uM,,,direct_table_value,,
EVO-OBS-P2-003,10.1128/aac.01570-23,Table 3,IMP-1,xeruborbactam,,,,IMP,IMP-1,,paper_reported_variant,,,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,2.7,uM,,,direct_table_value,,
EVO-OBS-P2-004,10.1128/aac.01570-23,Table 3,IMP-10,xeruborbactam,,,,IMP,IMP-10,IMP-1,paper_reported_variant,Val67Phe,BBL,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_lysate,IC50,=,73,uM,,,direct_table_value,,
EVO-OBS-P2-005,10.1128/aac.01570-23,Table 4,IMP-1,xeruborbactam,,,,IMP,IMP-1,,paper_reported_variant,,,,,,biochemical_inhibition,purified_enzyme,purified_recombinant_enzyme,Ki,=,0.3,uM,,,direct_table_value,,
EVO-OBS-P2-006,10.1128/aac.01570-23,Table 4,IMP-10,xeruborbactam,,,,IMP,IMP-10,IMP-1,paper_reported_variant,Val67Phe,BBL,,,,biochemical_inhibition,purified_enzyme,purified_recombinant_enzyme,Ki,=,11.3,uM,,,direct_table_value,,
EVO-OBS-P3-001,10.1128/aac.00297-25,Table 3,IMP-6,xeruborbactam,,,,IMP,IMP-6,IMP-1,paper_reported_variant,Ser262Gly,BBL,,,,biochemical_inhibition,crude_extract,recombinant_E_coli_crude_extract,IC50,=,180,uM,,,direct_table_value,,
