variant_name,verification_decision,conflicts,verification_notes
IMP-1,unresolved,,authoritative records not yet compared
IMP-6,unresolved,,authoritative records not yet compared
IMP-10,unresolved,,authoritative records not yet compared
IMP-14,unresolved,,authoritative records not yet compared
IMP-26,unresolved,,authoritative records not yet compared
IMP-59,unresolved,,authoritative records not yet compared
NDM-1,unresolved,,authoritative records not yet compared
NDM-9,unresolved,,authoritative records not yet compared
NDM-30,unresolved,,authoritative records not yet compared
VIM-2,unresolved,,authoritative records not yet compared
VIM-83,unresolved,,authoritative records not yet compared
