comparison_id,seed_id,provider_a,provider_b,field_name,classification
EVO-CMPMETA-C2F3A17113F29A8B0321,EVO-SEED-001,crossref,europe_pmc,article_type,compatible_partial_metadata
EVO-CMPMETA-6F85278C1902083E9B3A,EVO-SEED-001,crossref,europe_pmc,authors,material_conflict
EVO-CMPMETA-B6D36627AFD10B5589BF,EVO-SEED-001,crossref,europe_pmc,doi,exact_agreement
EVO-CMPMETA-1FC2A82FC14FAB71E7B6,EVO-SEED-001,crossref,europe_pmc,journal,material_conflict
EVO-CMPMETA-2C9A9739352397FE22BE,EVO-SEED-001,crossref,europe_pmc,licence,compatible_partial_metadata
EVO-CMPMETA-817B691889670F5E6EE3,EVO-SEED-001,crossref,europe_pmc,open_access,compatible_partial_metadata
EVO-CMPMETA-9C99FFB7D007AF171F93,EVO-SEED-001,crossref,europe_pmc,pmcid,compatible_partial_metadata
EVO-CMPMETA-888F92C7393AC6F71A61,EVO-SEED-001,crossref,europe_pmc,pmid,compatible_partial_metadata
EVO-CMPMETA-06DE604319E1D59CD8ED,EVO-SEED-001,crossref,europe_pmc,publication_year,exact_agreement
EVO-CMPMETA-86E96C5F71B0FD0105FB,EVO-SEED-001,crossref,europe_pmc,title,formatting_only_difference
EVO-CMPMETA-F90E8D3BCC3F0F95C55A,EVO-SEED-002,crossref,europe_pmc,article_type,compatible_partial_metadata
EVO-CMPMETA-91E60039AA1EFF6B5AA8,EVO-SEED-002,crossref,europe_pmc,authors,material_conflict
EVO-CMPMETA-4C5803A81CBF14D39BAA,EVO-SEED-002,crossref,europe_pmc,doi,exact_agreement
EVO-CMPMETA-E21BBAAF23DD42D9C738,EVO-SEED-002,crossref,europe_pmc,journal,material_conflict
EVO-CMPMETA-BBC884647239A815CAF8,EVO-SEED-002,crossref,europe_pmc,licence,compatible_partial_metadata
EVO-CMPMETA-96F576E44CA902B96F5C,EVO-SEED-002,crossref,europe_pmc,open_access,compatible_partial_metadata
EVO-CMPMETA-0A797D934E1D637ED3B8,EVO-SEED-002,crossref,europe_pmc,pmcid,compatible_partial_metadata
EVO-CMPMETA-BFBD0692F632713581AB,EVO-SEED-002,crossref,europe_pmc,pmid,compatible_partial_metadata
EVO-CMPMETA-42D1E0D1EE1CDFA70EDE,EVO-SEED-002,crossref,europe_pmc,publication_year,exact_agreement
EVO-CMPMETA-173B9B2DB833CEA6F4F4,EVO-SEED-002,crossref,europe_pmc,title,formatting_only_difference
EVO-CMPMETA-CBFC7E57948A7D1650DF,EVO-SEED-003,crossref,europe_pmc,article_type,compatible_partial_metadata
EVO-CMPMETA-7BBF66DE5864AE7522AA,EVO-SEED-003,crossref,europe_pmc,article_type,compatible_partial_metadata
EVO-CMPMETA-E70F9D3BEB1C662E5C0E,EVO-SEED-003,crossref,europe_pmc,authors,material_conflict
EVO-CMPMETA-01D5932DAD51A8E767E1,EVO-SEED-003,crossref,europe_pmc,authors,material_conflict
EVO-CMPMETA-50BB3F3C4E2F51992AE2,EVO-SEED-003,crossref,europe_pmc,doi,exact_agreement
EVO-CMPMETA-4B44A13EDACB3C302366,EVO-SEED-003,crossref,europe_pmc,doi,exact_agreement
EVO-CMPMETA-EB6192624B4B98497AA8,EVO-SEED-003,crossref,europe_pmc,journal,material_conflict
EVO-CMPMETA-2B466A5BB7F385C4F096,EVO-SEED-003,crossref,europe_pmc,journal,material_conflict
EVO-CMPMETA-3BE7241CF91EA43CF9A3,EVO-SEED-003,crossref,europe_pmc,licence,compatible_partial_metadata
EVO-CMPMETA-2D3C1263C4E9C9A5856A,EVO-SEED-003,crossref,europe_pmc,licence,compatible_partial_metadata
EVO-CMPMETA-BF26A96C04A143F8F573,EVO-SEED-003,crossref,europe_pmc,open_access,compatible_partial_metadata
EVO-CMPMETA-02C923E6EDFEC7059FB1,EVO-SEED-003,crossref,europe_pmc,open_access,compatible_partial_metadata
EVO-CMPMETA-E89F27E2668E976F872D,EVO-SEED-003,crossref,europe_pmc,pmcid,compatible_partial_metadata
