candidate_id,seed_id,source_id,provider,doi,pmid,pmcid,title,publication_year,response_hash,retrieval_event_id
EVO-META-E3A25699807E499E13CA,EVO-SEED-001,EVO-SRC-3C6ED4B1C20AC7DA,crossref,10.1128/aac.00991-23,,,Relative inhibitory activities of the broad-spectrum β-lactamase inhibitor taniborbactam against metallo-β-lactamases,2024,677eb618f043e1acf6aa7393b4da0a36a59cf440b9e4229093cb42e922058d44,EVO-RET-8DC2BF063346A2D54339
EVO-META-59BE45DEC2D897188A85,EVO-SEED-001,EVO-SRC-3C6ED4B1C20AC7DA,europe_pmc,10.1128/aac.00991-23,38047644,PMC10848752,Relative inhibitory activities of the broad-spectrum β-lactamase inhibitor taniborbactam against metallo-β-lactamases.,2024,ecb1d0796195b1f509b6233eb470e80a57f54e72e4430ed9a4814e1ccb599fcf,EVO-RET-F244519DA030CF496E54
EVO-META-FA50696410EC550B3E72,EVO-SEED-002,EVO-SRC-1F1F4BFCE7FB91BC,crossref,10.1128/aac.01570-23,,,"Relative inhibitory activities of the broad-spectrum β-lactamase inhibitor xeruborbactam in comparison with taniborbactam against metallo-β-lactamases produced in
            <i>Escherichia coli</i>
            and
            <i>Pseudomonas aeruginosa</i>",2024,311624ce254e46216c714797da10f8cbae653ad41bc791b12afe7723eb0b3e7b,EVO-RET-9375868D99FAA4DCD241
EVO-META-3BC612D07E00DBE2681F,EVO-SEED-002,EVO-SRC-1F1F4BFCE7FB91BC,europe_pmc,10.1128/aac.01570-23,38727224,PMC11620488,Relative inhibitory activities of the broad-spectrum β-lactamase inhibitor xeruborbactam in comparison with taniborbactam against metallo-β-lactamases produced in <i>Escherichia coli</i> and <i>Pseudomonas aeruginosa</i>.,2024,95c5bc806f7cf1c7add0055dab45e0b4e4f1789aa9b36513e89a95f5d13a4356,EVO-RET-274D50AE528D5E8141AB
EVO-META-C598FCEDAED3B806161E,EVO-SEED-003,EVO-SRC-A4914971E736EA36,crossref,10.1128/aac.00297-25,,,"The emerging concern of IMP variants being resistant to the only IMP-type metallo-β-lactamase inhibitor, xeruborbactam",2025,95e6038f3f07b1c8d81b2d7cd72565b22692b273e78a47bb2afa81b1703c3aee,EVO-RET-2E2096D4944FD89469C1
EVO-META-0AD3517253ED99559003,EVO-SEED-003,EVO-SRC-A4914971E736EA36,europe_pmc,10.1128/aac.00297-25,40488615,PMC12217461,"The emerging concern of IMP variants being resistant to the only IMP-type metallo-β-lactamase inhibitor, xeruborbactam.",2025,23c1ad73a875b4226c1b325e8970c951fc60949d43a787cdbd50cdc10defe26e,EVO-RET-D3D0B78D4DE17200D491
EVO-META-AABE9A7A98F217601A8B,EVO-SEED-003,EVO-SRC-A4914971E736EA36,europe_pmc,10.1128/aac.00297-25,40488615,PMC12217461,"The emerging concern of IMP variants being resistant to the only IMP-type metallo-β-lactamase inhibitor, xeruborbactam.",2025,fa4740af26379fb63bb665172983a1991382449aacf48e2ff3bf0e9d4316a017,EVO-RET-0C09CE414CE1C00B0881
EVO-META-88ED7334DEA1A8282086,EVO-SEED-003,EVO-SRC-A4914971E736EA36,ncbi_pubmed,10.1128/aac.00297-25,40488615,PMC12217461,"The emerging concern of IMP variants being resistant to the only IMP-type metallo-β-lactamase inhibitor, xeruborbactam.",2025,814f4ce254c8c4e18f2828a3fa6c274e5619ad5224a82b56ecc41e18c3c2992a,EVO-RET-9E8E94AC6A40CC2C16A4
EVO-META-EB006BE272005B9F50DD,EVO-SEED-003,EVO-SRC-A4914971E736EA36,ncbi_pubmed,10.1128/aac.00297-25,40488615,PMC12217461,"The emerging concern of IMP variants being resistant to the only IMP-type metallo-β-lactamase inhibitor, xeruborbactam.",2025,814f4ce254c8c4e18f2828a3fa6c274e5619ad5224a82b56ecc41e18c3c2992a,EVO-RET-E9381242A22874485968
EVO-META-DCC86CD5C78FA81F7532,EVO-SEED-004,EVO-SRC-4A0FF0F1E6942324,crossref,10.1128/aac.01699-24,,,"Spectrum of cefepime-taniborbactam coverage against 190 β-lactamases defined in engineered isogenic
            <i>Escherichia coli</i>
            strains",2025,65707c50cc4279aad8f7f73b6a5f7f07fe9561b1428b69d9bbd2a6edd983db85,EVO-RET-C382BA1A8C6174C7AD72
EVO-META-92B8C8A8FACCA9587338,EVO-SEED-004,EVO-SRC-4A0FF0F1E6942324,europe_pmc,10.1128/aac.01699-24,40167371,PMC12057355,Spectrum of cefepime-taniborbactam coverage against 190 β-lactamases defined in engineered isogenic <i>Escherichia coli</i> strains.,2025,833afb4accaf03d2c9d520635a5d57247446654f18e4fc8cc07987766464bd12,EVO-RET-E340158C25BF6CBDEB2F
EVO-META-DE1603CE0B8DE02B3748,EVO-SEED-005,EVO-SRC-1ED143DCEF91EF9C,crossref,10.1128/aac.00579-23,,,New boronate drugs and evolving NDM-mediated beta-lactam resistance,2023,abd4bda1ec86b455bd66c7e35639a066c30e58568bcfc60dae44ca920ce369a8,EVO-RET-5AE9AEC5F501BB94316A
EVO-META-209BE89FA65E747CA6AD,EVO-SEED-005,EVO-SRC-1ED143DCEF91EF9C,europe_pmc,10.1128/aac.00579-23,37650617,PMC10508144,New boronate drugs and evolving NDM-mediated beta-lactam resistance.,2023,b31f22ae9ef1f1a5cfd805806554b163d9793f69728c6c185392d21304dc024f,EVO-RET-4A97A8C70AE28625B077
EVO-META-05DEB8537C463468531B,EVO-SEED-006,EVO-SRC-1AA6599CEC290236,crossref,10.1128/aac.00426-26,,,"Phase I dose-ascending, safety, and pharmacokinetics study of APC148, a novel metallo-β-lactamase inhibitor, in healthy volunteers",2026,d12f88d7e4d911b293a6978ac7980b598ae8aa76f98da60ca55d028b08da2da1,EVO-RET-18F2892A732014C63DE6
EVO-META-827B87B2F03FF8873D02,EVO-SEED-006,EVO-SRC-1AA6599CEC290236,europe_pmc,10.1128/aac.00426-26,42307233,,"Phase I dose-ascending, safety, and pharmacokinetics study of APC148, a novel metallo-β-lactamase inhibitor, in healthy volunteers.",2026,6da7bb4c88fca63482ff83fc1247e36a9ec326d0bdb782ae278786f86d823d53,EVO-RET-14814D02294E82E83180
