retrieval_id,source_id,provider,requested_identifier,request_timestamp,completion_timestamp,outcome,http_status,attempt_count,response_hash,response_path,offline,adapter_version,configuration_version
EVO-RET-E8E0CCEB94366900F980,EVO-SRC-3C6ED4B1C20AC7DA,crossref,10.1128/aac.00991-23,2026-07-26 03:17:55.741119,2026-07-26 03:17:55.741119,offline_cache_miss,,1,,,True,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-DB9385A08F3639AFC6D6,EVO-SRC-3C6ED4B1C20AC7DA,europe_pmc,DOI:10.1128/aac.00991-23,2026-07-26 03:17:55.823996,2026-07-26 03:17:55.823996,offline_cache_miss,,1,,,True,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-BAAF8D21BB51E2507562,EVO-SRC-1F1F4BFCE7FB91BC,crossref,10.1128/aac.01570-23,2026-07-26 03:17:55.892843,2026-07-26 03:17:55.892843,offline_cache_miss,,1,,,True,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-4E431A1D362FB8898880,EVO-SRC-1F1F4BFCE7FB91BC,europe_pmc,DOI:10.1128/aac.01570-23,2026-07-26 03:17:55.957508,2026-07-26 03:17:55.957508,offline_cache_miss,,1,,,True,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-15C6AED3CFBE07FFF5B6,EVO-SRC-A4914971E736EA36,crossref,10.1128/aac.00297-25,2026-07-26 03:17:56.024444,2026-07-26 03:17:56.024444,offline_cache_miss,,1,,,True,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-67CEE4138BD86314AD3C,EVO-SRC-A4914971E736EA36,europe_pmc,DOI:10.1128/aac.00297-25,2026-07-26 03:17:56.108276,2026-07-26 03:17:56.108276,offline_cache_miss,,1,,,True,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-801A03FDF864B24599B3,EVO-SRC-A4914971E736EA36,europe_pmc,EXT_ID:40488615,2026-07-26 03:17:56.191177,2026-07-26 03:17:56.206830,offline_cache_miss,,1,,,True,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-B6ED6A9863731A95FFC3,EVO-SRC-A4914971E736EA36,ncbi_pubmed,40488615,2026-07-26 03:17:56.273911,2026-07-26 03:17:56.273911,offline_cache_miss,,1,,,True,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-6CE689294A6C0AA77B38,EVO-SRC-4A0FF0F1E6942324,crossref,10.1128/aac.01699-24,2026-07-26 03:17:56.341653,2026-07-26 03:17:56.341653,offline_cache_miss,,1,,,True,evombl-official-api-v2,source-rate-limits-v1
EVO-RET-E49FDBB9A70FF83891EC,EVO-SRC-4A0FF0F1E6942324,europe_pmc,DOI:10.1128/aac.01699-24,2026-07-26 03:17:56.442623,2026-07-26 03:17:56.442623,offline_cache_miss,,1,,,True,evombl-official-api-v2,source-rate-limits-v1
