observation_id,validation_status,quality_flags
EVO-OBS-P1-001,valid,
EVO-OBS-P1-002,valid,
EVO-OBS-P1-003,valid,
EVO-OBS-P1-004,valid,
EVO-OBS-P1-005,valid,
EVO-OBS-P1-006,valid,
EVO-OBS-P1-007,valid,
EVO-OBS-P2-001,valid,
EVO-OBS-P2-002,valid,
EVO-OBS-P2-003,valid,
EVO-OBS-P2-004,valid,
EVO-OBS-P2-005,valid,
EVO-OBS-P2-006,valid,
EVO-OBS-P3-001,valid,
EVO-OBS-P3-002,valid,censored_with_reported_fitted_estimate
EVO-OBS-P3-003,valid,
EVO-OBS-P1-008,valid,
EVO-OBS-P1-009,valid,
EVO-OBS-P1-010,valid,
EVO-OBS-P1-011,valid,
EVO-OBS-P1-012,valid,
EVO-OBS-P1-013,valid,
EVO-OBS-P1-014,valid,
EVO-OBS-P1-015,valid,
EVO-OBS-P1-016,valid,
EVO-OBS-P1-017,valid,
EVO-OBS-P1-018,valid,
EVO-OBS-P1-019,valid,
EVO-OBS-P1-020,valid,
EVO-OBS-P1-021,valid,
EVO-OBS-P1-022,valid,
EVO-OBS-P1-023,valid,
EVO-OBS-P1-024,valid,
EVO-OBS-P1-025,valid,
EVO-OBS-P1-026,valid,
EVO-OBS-P1-027,valid,
EVO-OBS-P1-028,valid,
EVO-OBS-P1-029,valid,
EVO-OBS-P1-030,valid,
EVO-OBS-P1-031,valid,
EVO-OBS-P1-032,valid,
EVO-OBS-P1-033,valid,
EVO-OBS-P1-034,valid,
